,Power,Wheels_Size,Rear_Tyre_&_Rim,Displacement,Cylinders,Fuel_Tank_Capacity,Front_Tyre_&_Rim,Torque,Fuel_System,Maruti Suzuki,Honda,Tata,Jeep,Kia,Hyundai,Bmw,Ford,Maruti Suzuki R,Mahindra
54,86.0,,,1199.0,3.0,35.0,,114.0,1.0,0,0,1,0,0,0,0,0,0,0
55,86.0,,,1199.0,3.0,35.0,,114.0,1.0,0,0,1,0,0,0,0,0,0,0
56,86.0,,,1199.0,3.0,35.0,,114.0,1.0,0,0,1,0,0,0,0,0,0,0
57,86.0,,,1199.0,3.0,35.0,,114.0,1.0,0,0,1,0,0,0,0,0,0,0
58,86.0,,,1199.0,3.0,35.0,,114.0,1.0,0,0,1,0,0,0,0,0,0,0
59,86.0,,,1199.0,3.0,35.0,,114.0,1.0,0,0,1,0,0,0,0,0,0,0
60,86.0,,,1199.0,3.0,35.0,,114.0,1.0,0,0,1,0,0,0,0,0,0,0
61,86.0,,,1199.0,3.0,35.0,,114.0,1.0,0,0,1,0,0,0,0,0,0,0
77,,,,999.0,3.0,40.0,,96.0,1.0,0,0,0,0,0,0,0,0,0,0
78,,,,999.0,3.0,40.0,,96.0,1.0,0,0,0,0,0,0,0,0,0,0
79,,,,999.0,3.0,40.0,,96.0,1.0,0,0,0,0,0,0,0,0,0,0
80,,,,999.0,3.0,40.0,,96.0,1.0,0,0,0,0,0,0,0,0,0,0
136,83.0,,,1197.0,,37.0,,114.0,1.0,0,0,0,0,0,1,0,0,0,0
137,83.0,,,1197.0,,37.0,,114.0,1.0,0,0,0,0,0,1,0,0,0,0
138,83.0,,,1197.0,,37.0,,114.0,1.0,0,0,0,0,0,1,0,0,0,0
140,100.0,,,998.0,,37.0,,,1.0,0,0,0,0,0,1,0,0,0,0
143,75.0,,,1186.0,,37.0,,,1.0,0,0,0,0,0,1,0,0,0,0
144,75.0,,,1186.0,,37.0,,,1.0,0,0,0,0,0,1,0,0,0,0
219,,,,1197.0,4.0,37.0,,,1.0,0,0,0,0,0,0,0,0,0,0
220,,,,1197.0,4.0,37.0,,,1.0,0,0,0,0,0,0,0,0,0,0
221,,,,1197.0,4.0,37.0,,,1.0,0,0,0,0,0,0,0,0,0,0
222,,,,1197.0,4.0,37.0,,,1.0,0,0,0,0,0,0,0,0,0,0
223,,,,1197.0,4.0,37.0,,,1.0,0,0,0,0,0,0,0,0,0,0
235,173.0,,,1956.0,4.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
236,173.0,,,1956.0,4.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
275,,,,1998.0,4.0,44.0,,,1.0,0,0,0,0,0,0,0,0,0,0
276,250.0,,,1997.0,4.0,61.0,,,1.0,0,0,0,0,0,0,0,0,0,0
277,180.0,,,1999.0,4.0,56.0,,,1.0,0,0,0,0,0,0,0,0,0,0
278,180.0,,,1999.0,4.0,56.0,,,1.0,0,0,0,0,0,0,0,0,0,0
279,250.0,,,1997.0,4.0,61.0,,,1.0,0,0,0,0,0,0,0,0,0,0
286,,,,1984.0,4.0,73.0,,,1.0,0,0,0,0,0,0,0,0,0,0
287,,,,1984.0,4.0,73.0,,,1.0,0,0,0,0,0,0,0,0,0,0
304,,,,2979.0,6.0,52.0,,,1.0,0,0,0,0,0,0,1,0,0,0
315,265.0,,,2993.0,6.0,78.0,,,1.0,0,0,0,0,0,0,1,0,0,0
316,265.0,,,2993.0,6.0,78.0,,,1.0,0,0,0,0,0,0,1,0,0,0
317,265.0,,,2993.0,6.0,78.0,,,1.0,0,0,0,0,0,0,1,0,0,0
318,,,,2998.0,6.0,78.0,,,1.0,0,0,0,0,0,0,1,0,0,0
319,,,,2998.0,6.0,46.0,,,1.0,0,0,0,0,0,0,1,0,0,0
320,,,,6592.0,12.0,78.0,,,1.0,0,0,0,0,0,0,1,0,0,0
321,340.0,,,2995.0,4.0,85.0,,500.0,1.0,0,0,0,0,0,0,0,0,0,0
328,585.0,285.0,285.0,3982.0,8.0,96.0,285.0,,1.0,0,0,0,0,0,0,0,0,0,0
329,289.0,,,2925.0,6.0,100.0,,600.0,1.0,0,0,0,0,0,0,0,0,0,0
330,340.0,,,2995.0,8.0,82.0,,500.0,1.0,0,0,0,0,0,0,0,0,0,0
332,275.0,,,2987.0,6.0,70.0,245.0,,1.0,0,0,0,0,0,0,0,0,0,0
355,,,,7993.0,16.0,,,,0.0,0,0,0,0,0,0,0,0,0,0
356,,,,7993.0,16.0,,,,0.0,0,0,0,0,0,0,0,0,0,0
371,67.0,,,998.0,3.0,27.0,,90.0,1.0,1,0,0,0,0,0,0,0,0,0
372,67.0,,,998.0,3.0,27.0,,90.0,1.0,1,0,0,0,0,0,0,0,0,0
373,67.0,,,998.0,3.0,27.0,,90.0,1.0,1,0,0,0,0,0,0,0,0,0
374,67.0,,,998.0,3.0,27.0,,90.0,1.0,1,0,0,0,0,0,0,0,0,0
375,67.0,,,998.0,3.0,27.0,,90.0,1.0,1,0,0,0,0,0,0,0,0,0
376,67.0,,,998.0,3.0,27.0,,90.0,1.0,1,0,0,0,0,0,0,0,0,0
377,68.0,155.0,155.0,998.0,3.0,35.0,155.0,90.0,1.0,1,0,0,0,0,0,0,0,0,0
378,68.0,165.0,165.0,998.0,3.0,35.0,165.0,90.0,1.0,1,0,0,0,0,0,0,0,0,0
379,68.0,165.0,165.0,998.0,3.0,35.0,165.0,90.0,1.0,1,0,0,0,0,0,0,0,0,0
380,68.0,165.0,165.0,998.0,3.0,35.0,165.0,90.0,1.0,1,0,0,0,0,0,0,0,0,0
381,68.0,165.0,165.0,998.0,3.0,35.0,165.0,90.0,1.0,1,0,0,0,0,0,0,0,0,0
382,59.0,165.0,165.0,998.0,3.0,35.0,165.0,78.0,1.0,1,0,0,0,0,0,0,0,0,0
383,68.0,165.0,165.0,998.0,3.0,35.0,165.0,90.0,1.0,1,0,0,0,0,0,0,0,0,0
384,68.0,155.0,155.0,998.0,3.0,35.0,155.0,90.0,1.0,1,0,0,0,0,0,0,0,0,0
385,68.0,165.0,165.0,998.0,3.0,35.0,165.0,90.0,1.0,1,0,0,0,0,0,0,0,0,0
386,68.0,165.0,165.0,998.0,3.0,35.0,165.0,90.0,1.0,1,0,0,0,0,0,0,0,0,0
387,68.0,165.0,165.0,998.0,3.0,35.0,165.0,90.0,1.0,1,0,0,0,0,0,0,0,0,0
416,83.0,,,1197.0,4.0,37.0,,113.0,1.0,1,0,0,0,0,0,0,0,0,0
417,83.0,165.0,165.0,1197.0,4.0,37.0,165.0,113.0,1.0,1,0,0,0,0,0,0,0,0,0
418,83.0,165.0,165.0,1197.0,4.0,37.0,165.0,113.0,1.0,1,0,0,0,0,0,0,0,0,0
419,83.0,185.0,185.0,1197.0,4.0,37.0,185.0,113.0,1.0,1,0,0,0,0,0,0,0,0,0
420,83.0,185.0,185.0,1197.0,4.0,37.0,185.0,113.0,1.0,1,0,0,0,0,0,0,0,0,0
421,83.0,185.0,185.0,1197.0,4.0,37.0,185.0,113.0,1.0,1,0,0,0,0,0,0,0,0,0
428,83.0,185.0,185.0,1197.0,4.0,37.0,185.0,113.0,1.0,1,0,0,0,0,0,0,0,0,0
432,86.0,165.0,165.0,1199.0,3.0,37.0,165.0,113.0,1.0,0,0,1,0,0,0,0,0,0,0
433,86.0,165.0,165.0,1199.0,3.0,37.0,165.0,113.0,1.0,0,0,1,0,0,0,0,0,0,0
434,86.0,165.0,165.0,1199.0,3.0,37.0,165.0,113.0,1.0,0,0,1,0,0,0,0,0,0,0
437,90.0,165.0,165.0,1497.0,4.0,37.0,165.0,,1.0,0,0,1,0,0,0,0,0,0,0
438,90.0,165.0,165.0,1497.0,4.0,37.0,165.0,,1.0,0,0,1,0,0,0,0,0,0,0
439,90.0,165.0,165.0,1497.0,4.0,37.0,165.0,,1.0,0,0,1,0,0,0,0,0,0,0
